scheme_name,url,organization,category,description,eligibility,benefits,last_updated
AIM-ICDK Water Innovation Challenge,https://aim.gov.in/icdk-water-challenge-2.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"Since 2021, Atal Innovation Mission, NITI Aayog (AIM-NITI Aayog) has been collaborating with Innovation Center Denmark (ICDK), the Denmark Embassy in India, the Danish Environment Protection Agency (DEPA) and Technical University of Denmark (DTU) to prepare the Indian participation for the Global Next Generation [ ] Action (NG[ ]A) program. Hosted by DTU, the NG[ ]A global platform is anchored in Denmark and brings together young academics and entrepreneurs from around the world to engage in intergenerational dialogue with global decision-makers. Each year, it focuses on a pressing sustainability theme—fostering collaboration, co-creation, and knowledge exchange. By connecting emerging talent with established leaders, the initiative inspires current leadership while empowering the next generation to take action on global challenges.",N/A,N/A,N/A
AEDP Overview,https://aim.gov.in/aim-ecosystem-development-program.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"AIM has established institutions across the value chain of the Innovation Ecosystem. Atal Innovation Mission(AIM) has initiated the program AEDP(AIM Ecosystem Development program) with a vision to build collaborations, create strategic programs, develop the innovation ecosystem and link all parts of the AIM Ecosystem.",N/A,N/A,N/A
Aatmanirbhar Bharat ARISE,https://aim.gov.in/arise.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"The Aatmanirbhar Bharat ARISE-ANIC program is national initiative to promote research & innovation and increase competitiveness of Indian startups and MSMEs. The objective of Aatmanirbhar Bharat ARISE-ANIC program is to proactively collaborate with esteemed Ministries and the associated industries to catalyse research, innovation and facilitate innovative solutions to sectoral problems. The objective is also to provide a steady stream of innovative products & solutions where the Central Government Ministries / Departments will become the potential first buyers.",MSMEs Startups View Guideline,N/A,N/A
Ed-Tech Innovations to enhance the learning for PwD/CwD,https://aim.gov.in/EdtechInnovations.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"Education is the most effective vehicle of social and economic empowerment. Quality education supported through innovative tech interventions is the foundation of new discoveries, new knowledge, innovation and entrepreneurship that trigger growth and prosperity of the individual as well as that of a nation. The Constitution of India ensures equality, freedom, justice and dignity of all individuals and implicitly mandates an inclusive society for all including persons with disabilities. In the recent years, there have been vast and positive changes in perception of the society towards persons with disabilities. It has been realized that a majority of persons with disabilities can lead a better quality of life if they have equal opportunities and effective access to rehabilitation measures. With the idea of ensuring equity in education for children/person with special needs,Atal Innovation Mission, NITI Aayog(AIM-NITI Aayog) has partnered withMinistry of Education(MoE) to launch an Educational Technology (Ed-Tech) focusedDemo Dayto help bring to market new technologies developed in this area. The Ed-Tech innovations - with a special focus on technologies for enhancing learning for disability such as assistive technology, remedial teaching technology etc - will be highlighted on the demo-day along with other Ed-Tech innovations.This is to call for innovations in the Ed-Tech for CwD/ PwD. These innovations can be a product/ service and should be in a MVP/commercialised stage at the time of application and must be specialized to the learning needs of PwD/ CwD.",N/A,N/A,N/A
YOUTH CO:LAB NATIONAL INNOVATION CHALLENGE 2024-25,https://aim.gov.in/youthcolab-2025.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"Co-created in 2017 by the United Nations Development Programme (UNDP) and Citi Foundation, Youth Co:Lab aims to establish a common agenda for countries in the Asia-Pacific region to empower and invest in youth so that they can accelerate the implementation of the Sustainable Development Goals (SDGs) through leadership, social innovation, and entrepreneurship.Learn more atwww.youthcolab.org. In India, Youth Co:Lab was launched in 2019 by UNDP India in collaboration with Atal Innovation Mission, NITI Aayog. As of the end of 2024, Youth Co:Lab has conducted six national theme-specific youth social innovation and entrepreneurship dialogues in India through this collaboration. This includes several forms of engagements, panel discussions, workshops, dialogues, and webinars. Youth Co:Lab also supports social entrepreneurs through a long-term incubation programme, with selected entrepreneurs representing India at the regional summit.",N/A,N/A,N/A
AIM-iLEAP Program,https://aim.gov.in/ileap.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"NITI Aayog’s flagship program - Atal Innovation Mission (AIM) has been at the forefront of promoting a culture of innovation and entrepreneurship. AIM has partnered up with Startup Réseau - a leading startup accelerator and operator, to support its various initiatives, programs, and beneficiaries through a structured program that will provide AIM-backed startups with much-needed access to industry, markets, and investors. AIM iLEAP (Innovative Leadership for Entrepreneurial Agility and Profitability) is a series of Enterprise and Investor Demo Days. AIM iLEAP was launched to support #startupsuccess by overcoming two major bottlenecks they face - market and investor access.",N/A,"Establishing industry credibility.Access to enterprise assets of infrastructure, data, partner networks and customers.Potential opportunity to earn a POC with participating corporates.Attracting investment from attending investors.Business Insights during the 5-day Bootcamp preceding the demo day.Access to an extended network of mentors from Startup Reseau’s global network. Program Schedule121stMa",N/A
AIM-Prime Program,https://aim.gov.in/primeprogram.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"The AIM-PRIME program is aimed at promoting science based, deep technology ideas to market through training and guidance over a period of 9 months. Technology developers and incubations managers",Startup leadership teamFaculty EntrepreneursIncubation Managers Technology developers and translators from early stage deep tech startups (For example: deep tech startups associated with AICs)Scientists/ Engineers/ Clinicians with advanced degreesHaving a formal and full-time employment engagement with a startupApplicant should be advancing a science-based technology (at any TRL level)The proposed,1Classroom SessionsLearn from global experts on various topics relating to innovation and entrepreneurship.2Live ProjectsWork with an interdisciplinary team to actively bring an idea to market.3One-to-One MentoringGet access to our mentor panel who can guide you to accelerate your projects.4Deeptech Startup PlaybookGet access to exclusive toolkits compiled in a resource for commercializing deep te,N/A
Mentor India,https://aim.gov.in/mentor-of-change.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"Mentor India is a strategic nation-building program to engage mentors who can lead the way for students of Atal Tinkering Labs across India. We call them ""Mentors of Change"" who volunteer for mentorship and help students practice future skills such as design thinking. Mentors of Change are instrumental in making the Atal Tinkering Labs a successful platform for students by joining in experimenting, innovating, and bringing their knowledge to practice. Mentoring sessions conducted by Mentors for ATL students",N/A,N/A,N/A
Meet our Team,https://aim.gov.in/our-team.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,https://www.linkedin.com/in/shubham-gupta2692/ https://www.linkedin.com/in/prateek-deshmukh/,N/A,N/A,N/A
Rise Accelerator,https://aim.gov.in/rise.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"The India Australia Rapid Innovation and Start-up Expansion (RISE) Accelerator, is a purpose-built program to support and accelerate Indian and Australian start-ups. RISE Accelerator targets to enable start-ups with mature tech-based innovations to fast-track their cross-border social, economic and environmental impact through cross-border innovation ecosystem",N/A,N/A,N/A
Disclaimer,https://aim.gov.in/disclaimer.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"Information in this section of the website is curated directly from online news publications and other sources on the web. Therefore, neither ATAL Innovation Mission nor the National Informatics Centre (NIC) takes any responsibility for this content and will not be responsible for any loss to any individual/organization caused by inaccuracy in this information. Any discrepancy found may be brought to the notice of ATAL Innovation Mission or NIC.",N/A,N/A,N/A
Atal New India Challenge 2.0,https://aim.gov.in/atal-new-india-challenge-2.0.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"Atal New India Challengeis a flagship program of Atal Innovation Mission, NITI Aayog. The program aims toseek, select, supportandnurture technology-based innovationsthatsolvesectoralchallengesofnational importanceandsocietal relevance. The vision of the Atal New India Challenge (ANIC) is two-fold:",N/A,N/A,N/A
Recruitment,https://aim.gov.in/work-with-aim.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"Inviting applications for engagement of retired Central Government/ State Government/ PSUs/ Autonomous Bodies/Statutory Bodies officers as Consultants [2 No. Consultant (Admn.) and 2 No. Consultant (Finance & Accounts)] in the Atal Innovation, Mission, NITI Aayog, New Delhi The last date of receiving applications is 24th July, 2026.",N/A,N/A,N/A
Term & Condition,https://aim.gov.in/term-and-condition.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"This website is designed, developed and maintained by ATAL Innovation Mission, Government of India. Though all efforts have been made to ensure the accuracy and currency of the content on this website, the same should not be construed as a statement of law or used for any legal purposes. In case of any ambiguity or doubts, users are advised to verify/check with the Department(s) and/or other source(s), and to obtain appropriate professional advice.",N/A,N/A,N/A
Overview,https://aim.gov.in/overview.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"Atal Innovation Mission (AIM), NITI Aayog is Government of India’s flagship initiative to promote a culture of innovation and entrepreneurship in the country and was setup in 2016. Towards this end AIM has taken a holistic approach to ensure creation of a problem-solving innovative mindset in schools and creating an ecosystem of entrepreneurship in universities, research institutions, private and MSME sector. All the initiatives of AIM are currently monitored and managed systematically using real-time MIS systems and dynamic dashboards. AIM is also currently having its programs reviewed by third party agencies for ensuring continuous improvements. AIM has launched the Atal Tinkering Lab (ATL) program. ATL is a state-of-the-art space established in a school with a goal to foster curiosity and innovation in young minds, between grade 6th to 12th across the country through 21st century tools and technologies such as Internet of Things, 3D printing, rapid prototyping tools, robotics, miniaturized electronics, do-it-yourself kits and many more. The aim is to stimulate a problem-solving innovative mindset within the children of the ATL and nearby communities. Till date, AIM has established 10,000 Atal Tinkering Labs in Schools across the country.",N/A,N/A,N/A
AIM iCRESt,https://aim.gov.in/aim-icrest.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"Incubator Capabilities enhancement for a Robust Ecosystem for high performing Startups Atal Innovation Mission (AIM), over the last few years, has created a network of incubators that energize the innovation value chain in India. Within this ecosystem, AIM is conscious of the team related challenges faced by incubators as they strive to produce viable, successful businesses. Keeping this in mind, AIM, designed iCRESt - a first of its kind, remotely conducted, program that aims to become a growth hack for incubators as they strive to become #WorldClassIncubators and reach greater heights.",N/A,N/A,N/A
YOUTH CO:LAB NATIONAL INNOVATION CHALLENGE 2026,https://aim.gov.in/youthcolab.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"Youth Co:Lab was launched in India in 2019 by UNDP in collaboration with the Atal Innovation Mission, NITI Aayog. As of the end of 2025, Youth Co:Lab has conducted seven national theme-specific youth social innovation and entrepreneurship challenges in India through this collaboration. These engagements include national dialogues, panel discussions, workshops, conversations, and webinars. Youth Co:Lab offers seed grants and pairs early-stage entrepreneurs with mentors, investors and peers, and gives them the business tools to turn raw ideas into viable ventures. The Youth Co:Lab National Innovation Challenge 2026 in India, held in collaboration with T-Hub Foundation will focus on the theme of Responsible Consumption. These efforts are aligned with the Government of India’s Mission LiFE and focus on innovations that nudge individual and collective action towards a Lifestyle for Environment. These efforts are aligned with the Government of India’s Mission LiFE and focus on innovations that nudge individual and collective action towards a Lifestyle for Environment, under the 8th edition of the Youth Co:Lab National Innovation Challenge 2026. The sub-categories would be as follows:1.Sustainable Textiles and Fashion2.Circular Economy Innovations3.Sustainable Food Systems and Water Conservation",N/A,N/A,N/A
South South Innovation Challenge,https://aim.gov.in/south-south-innovation-challenge.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"The UN Capital Development Fund (UNCDF), in partnership with Atal Innovation Mission, NITI Aayog (Govt. of India); Bill & Melinda Gates Foundation; Rabo Foundation; International Fund for Agricultural Development (IFAD); and Bayer, has launched an innovation platform to enable cross-border exchange of innovations, insights and investments. The first initiative of the Platform is the Agritech Challenge launched in July 2021, with a focus on improving financial health of smallholder farmers. The Programme will support agritech and agri-fintech startups from India to expand to international markets, across Kenya, Malawi, Uganda & Zambia in Africa, and Malaysia, India & Indonesia in Asia.The selected participants of this challenge will get access to industry, investor & market linkages, along with mentorship from sector experts to help them build and test their solution in their chosen international market, with subsequent support on scaling the solution as well.The objective of the program is to facilitate the implementation of innovative agri-tech and agri- fintech solutions to address challenges faced by smallholder farmers across Asia and Africa, to help improve their financial health.CO-HORT(s)Main TrackAIM TrackThere are two tracks through which applications were invited for the Agri-Tech challenge.Agritech ChallengeMain TrackAIM TrackKey ObjectiveExpansion – Support solution pilot in the chosen international market.Readiness – Enable understanding of / exposure to the chosen international market.EligibilityStartup registered in India (or any of the other participating countries).- Startup registered in India.- Supported by AIMAverage annual revenue of at least USD 150,000 over the last 3 years or USD 100,000 over the last 2 years.No specific revenue threshold.Live solution with an active user/customer base. (active customer defined as having transacted with the solution at least once in 90 days).Startup with a live solution (MVP and beyond stage) and active user/customer base.Number of ApplicationsA total of 100 applications were received.A total of 37 applications were received.SelectionA total of 10 startups were selected.A total of 15 startups/ companies were selected.Evaluation ParametersDegree of InnovationSolution Innovation and Differentiation and relevance in addressing market gaps.Sustainability & Commercial ViabilityCommercial Scalability and potential, P&L and market ReadinessSocial Impact and UN SDGsImpact on lives of smallholder farmers, climate, alignment with UN SDGsOrganizational Capacity and ImplementationOrganizational infra, team and expertise to manage and sustain international expansion.Engagement FormatCohort-driven focused on building use-cases.Cohort-driven focused on guidance & market linkages.The event on 20th is the launch of the support phase for the Main-Track startups and guidance for the AIM-Track.The Program JourneyThree Identified ChallengesThe applicants addressed at least one of the following three identified challenge areas in their chosen international marketParticipation BenefitsParticipating CountriesEvaluation CriteriaAll eligible applicants will be evaluated against the following criteria:Insights and ResourcesLaunch of the Agritech Challenge and Innovation PlatformAIM-UNCDF South-South Innovation Challenge: Agri-Tech cohort launchBuilding Global Bridges in Agritech:Insights from Bayer, IFAD, Omnivore, Rabobank and ThinkAgGlobal Agritech Landscape:Arnab Das, HeadSmallholder Farming APACBayer Crop ScienceMalaysian Agritech Landscape:Puan Khadijah IskandarCovering President / CEOAgrobank MalaysiaEast African Agritech Landscape:Insights from AGRA, IFAD, One Acre Fund, Open Capital and StanbicBankIndonesia Agritech Landscape:Insights from Bank BRI Agro, Bayer Crop Science, PISAgro andSecureFood",N/A,N/A,N/A
Atal Community Innovation Centre,https://aim.gov.in/acic.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,Atal Community Innovation Centers have been launched to encourage a spirit of entrepreneurship in the underserved/unserved regions of India by providing enabling infrastructure and facilitating environment for innovation.,N/A,N/A,N/A
Partners,https://aim.gov.in/Partners.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,Official government support scheme.,N/A,N/A,N/A
Screen Reader Access,https://aim.gov.in/screen-reader.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,http://safa-reader.software.informer.com/download/ http://www.screenreader.net/index.php?pageid=11,N/A,N/A,N/A
About AIM,https://aim.gov.in,Atal Innovation Mission (AIM),Incubation & Innovation Grant,Hon'ble Prime Minister at the India–France Innovation Forum in Mumbai outlining India’s decade-long India's Innovation ecosystem Unveiling the 10-year logo as AIM marks a decade of innovation journey towards Viksit Bharat,N/A,N/A,N/A
AIM – ICDK Water Challenge 6.0,https://aim.gov.in/ICDK-water-innovation-challenge-6.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"As a part of the Indo-Danish Green Strategic Partnership, Atal Innovation Mission, NITI Aayog (AIM) has collaborated with Innovation Centre Denmark (ICDK), the Royal Danish Embassy in India, and the Technical University of Denmark (DTU) to prepare the Indian participation for the Next Generation Digital Action (NGDA) program hosted by DTU in Denmark. NGDA is a global youth initiative part of Digital Tech Summit 2026 to enable diverse youth-led ideas, perspectives and action on digital technologies transforming societies – leaving no one behind. The AIM-ICDK Water Innovation Challenge has successfully completed four editions and has launched the fifth edition this year. The selected teams will form the Indian cohort which will participate in the global Next Generation Digital Action program and engage with young talents from leading universities and innovation hubs of 10 countries (India, Denmark, Kenya, Korea, Tanzania, South Africa, Ghana, Colombia, USA and Mexico).",N/A,N/A,N/A
Atal Tinkering Labs,https://aim.gov.in/atl.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"With a vision to ‘Cultivate one Million children in India as Neoteric Innovators’, Atal Innovation Mission is establishing Atal Tinkering Laboratories (ATLs) in schools across India. The objective of this scheme is to foster curiosity, creativity, and imagination in young minds; and inculcate skills such as design mindset, computational thinking, adaptive learning, physical computing etc. States and Union Territories spanning 722 districts",N/A,N/A,N/A
Space Module,https://aim.gov.in/space-module.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,Official government support scheme.,N/A,N/A,N/A
HCD Alumni Directory,https://aim.gov.in/hcd-alumni-directory.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,Human Capital Development Programme Participants,N/A,N/A,N/A
Atal Incubation Centre,https://aim.gov.in/aic.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"To create an ever-evolving ecosystem of start-ups and entrepreneurs, AIM has been establishing world class incubators called Atal Incubation Centres (AICs) at universities, institutions and corporates among others. These Centres aim to foster and support world class innovation, dynamic entrepreneurs who want to build scalable and sustainable enterprises.",N/A,N/A,N/A
MHLC Members,https://aim.gov.in/List-of-MHLC-Members.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,Minister of State Ministry of Science & Technology,N/A,N/A,N/A
Leadership,https://aim.gov.in/mission-director.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"Deepak Bagla is the Mission Director of Atal Innovation Mission (AIM) at NITI Aayog, Government of India. He brings with him a distinguished career spanning multilateral institutions such as the World Bank, Citibank, and the private equity sector, with leadership roles across Europe, Asia, Africa, and Australia. His journey uniquely combines private sector expertise with public sector experience, offering a blend of strategic insight and operational excellence to the role. In 2015 he was appointed the Managing Director and CEO to establish Invest India, as The National Investment Promotion Agency of the Government and during his eight year tenure (March 2023) the Agency has been acknowledged as the World’s most awarded IPA. Invest India is the point of reference for Investors and also assists several important initiatives of the Government including, Startup India, One District One Product, and the digitisation of the processes and approvals during the investor journey.",N/A,N/A,N/A
Videos,https://aim.gov.in/videos.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,75 milestones of Indian Innovation ecosystem ATL Tinkerpreneur Summer Bootcamp Finale Session- Business Ethics,N/A,N/A,N/A
About AIM,https://aim.gov.in/index.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,Hon'ble Prime Minister at the India–France Innovation Forum in Mumbai outlining India’s decade-long India's Innovation ecosystem Unveiling the 10-year logo as AIM marks a decade of innovation journey towards Viksit Bharat,N/A,N/A,N/A
YOUTH CO:LAB 2023-24,https://aim.gov.in/youthcolab2023-24.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"Co-created in 2017 by the United Nations Development Programme (UNDP) and Citi Foundation, Youth Co:Lab aims to establish a common agenda for countries in the Asia-Pacific region to empower and invest in youth, so that they can accelerate the implementation of the Sustainable Development Goals (SDGs) through leadership, social innovation and entrepreneurship. Learn more atwww.youthcolab.org. In India, Youth Co: Lab was launched in 2019 in collaboration with Atal Innovation Mission, NITI Aayog. Through this collaboration Youth Co: Lab has conducted five national theme-specific youth social innovation and entrepreneurship challenges in India, including several forms of engagement such as panel discussions, workshops, dialogues, and webinars. Youth Co: Lab in India and regionally also supports social entrepreneurs through a long-term incubation programme, with selected entrepreneurs representing India at the regional summit.",N/A,N/A,N/A
Resources,https://aim.gov.in/resources.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,CSR & Corporate Philanthropy for Innovation in India How to create a Facebook Page - Tutorial,N/A,N/A,N/A
YOUTH CO:LAB 2022-23,https://aim.gov.in/youthcolab-2022-23/,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"Youth Co:Lab, co-created in 2017 by UNDP Asia and the Pacific and Citi Foundation is a multi-dimensional and multi-level response to tackle the challenges young people face by positioning youth front and center to find solutions to today’s most pressing problems. Youth Co:Lab aims to establish a common agenda for Asia-Pacific countries to invest in and empower youth to accelerate the implementation of the SDGs through leadership, social innovation, and entrepreneurship.",N/A,N/A,N/A
YOUTH CO:LAB 2021,https://aim.gov.in/youthcolab2021.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"Youth Co:Lab, co-created in 2017 by UNDP Asia and the Pacific and Citi Foundation is a multi-dimensional and multi-level response to tackle the challenges young people face by positioning youth front and center to find solutions to today’s most pressing problems. Youth Co:Lab aims to establish a common agenda for Asia-Pacific countries to invest in and empower youth to accelerate the implementation of the SDGs through leadership, social innovation and entrepreneurship. UNDP India and Atal Innovation Mission, NITI Aayog have joined hands to strengthen the youth-led innovation and social entrepreneurship ecosystem through Youth Co:Lab India. The fourth edition of Youth Co:Lab India focused on identifying and supporting youth climate and green entrepreneurs. Youth Co:Lab 2021 invited youth-led early stage social enterprises or innovations working in the space of circular economy and waste management, sustainable transportation and e-mobility, sustainable tourism and sustainable food tech.",N/A,N/A,N/A
Vernacular Innovation Program,https://aim.gov.in/Vernacular-Innovation-Program.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,"Vernacular Innovation Program (VIP) is an initiative of the Atal Innovation Mission (AIM), NITI Aayog, targeted at decoupling creative expression from the language of transaction in India’s innovation ecosystem. This program is designed to lower the language barrier for vernacular innovators when learning design thinking and entrepreneurship, accessing markets, attracting investments, and influencing innovation policy. To accomplish this objective a Vernacular Task Force(VTF) in each language has been formed for creating the necessary resources as well as the ecosystem activities.",N/A,N/A,N/A
MSME CHAMPIONS,https://champions.gov.in/,MSME Champions Portal,MSME Scheme,"Udyam Registartion, MSME, Champion, GOI, Entrpreneurs, self employment, PMEGP, Khadi, agro industry, Ministry of Micro, Small and Medium Enterprises, Government of india, MSME Online Registration,MSME Certificate, MSME Schemes, Benefits to MSME, KVIC, Coir, Coirboard",N/A,N/A,N/A
SCHEMES FOR STARTERS,https://champions.gov.in/MSME_Ministry/start-up-udyam-financing-equity_loan_schemes/new_entrepreneurs_Starters.htm,MSME Champions Portal,MSME Scheme,"Udyam Registartion, MSME, Champion, GOI, Entrpreneurs, self employment, PMEGP, Khadi, agro industry, Ministry of Micro, Small and Medium Enterprises, Government of india, MSME Online Registration,MSME Certificate, MSME Schemes, Benefits to MSME, KVIC, Coir, Coirboard","Target Beneficiary: Unemployed rural and urban youth;Eligibility Criteria: Any individual above 18 years of age, SHGs, Charitable trusts, Registered Societies etc.Budget for FY 20-21: Rs. 2500 CroresDetails of scheme: It is a Bank appraised and financed, subsidy program to set up",The maximum cost of the project under manufacturing sector for up-gradation is Rs.1.00 crore and Rs.25.00 lakh under Service/Trading sector;Maximum subsidy would be 15% of the project cost (20% for NER and Hill States). The balance amount of the total project cost is provided b,N/A
